"id";"sexe";"cellId";"col";"row";"nb_dans_cellule";"lon_grille";"lat_grille";"lon_reel";"lat_reel";"reaffecte";"deplacement_m";"issu_zone_non";"point_reel_hors_commune"
"709";"Feminin";"36";"1";"6";"1";"-4.13487634191902";"5.32540635305626";"-4.137197564";"5.32361725311767";"1";"324";"0";"0"
"9";"Masculin";"153";"7";"15";"4";"-4.10900847128034";"5.36728590643619";"-4.1059171";"5.3662321";"0";"362";"0";"0"
"15";"Masculin";"153";"7";"15";"4";"-4.10675238119961";"5.36728999680182";"-4.1060839";"5.3644853";"0";"319";"0";"0"
"10";"Feminin";"153";"7";"15";"4";"-4.1090043868854";"5.36502470310129";"-4.1065062";"5.3661692";"0";"304";"0";"0"
"13";"Feminin";"153";"7";"15";"4";"-4.10674830510954";"5.36502879173397";"-4.1062084";"5.3653281";"0";"68";"0";"0"
"301";"Masculin";"162";"7";"6";"3";"-4.10888953299886";"5.32626773284005";"-4.1108148";"5.3228103";"1";"438";"0";"0"
"300";"Feminin";"162";"7";"6";"3";"-4.1067238306159";"5.32627162941444";"-4.1095443";"5.3239734";"0";"403";"0";"0"
"646";"Feminin";"162";"7";"6";"3";"-4.10780344298478";"5.32446071627364";"-4.1111739";"5.3239679";"1";"377";"0";"0"
"76";"Masculin";"137";"6";"10";"4";"-4.11347971504508";"5.34466569450428";"-4.1058013";"5.3452163";"1";"853";"0";"0"
"228";"Masculin";"137";"6";"10";"4";"-4.11122371134854";"5.34466978412128";"-4.1075968";"5.3401883";"1";"638";"0";"0"
"85";"Feminin";"137";"6";"10";"4";"-4.11347563157129";"5.34240449294935";"-4.1060234";"5.3453974";"1";"890";"0";"0"
"89";"Feminin";"137";"6";"10";"4";"-4.11121963614406";"5.34240858082646";"-4.1058989";"5.3441448";"1";"620";"0";"0"
"41";"Masculin";"217";"10";"14";"4";"-4.09546383732228";"5.36278789621722";"-4.1051251";"5.3647492";"1";"1092";"0";"0"
"42";"Masculin";"217";"10";"14";"4";"-4.09320775344577";"5.36279193320568";"-4.1047648";"5.3651577";"1";"1307";"0";"0"
"22";"Feminin";"217";"10";"14";"4";"-4.09545980620666";"5.3605266821978";"-4.0949592";"5.3678761";"1";"814";"0";"0"
"113";"Feminin";"217";"10";"14";"4";"-4.0932037306281";"5.36053071747449";"-4.1012307";"5.3699253";"1";"1367";"0";"0"
"686";"Feminin";"250";"11";"2";"2";"-4.09080868883524";"5.3073961655598";"-4.089123448";"5.3082205851128";"0";"208";"0";"0"
"694";"Feminin";"250";"11";"2";"2";"-4.08864303920086";"5.30739998500525";"-4.08844083";"5.30915127560135";"0";"195";"0";"0"
"632";"Masculin";"220";"10";"11";"4";"-4.09543967649926";"5.34922060955612";"-4.0922507";"5.3483389";"0";"367";"0";"0"
"629";"Masculin";"220";"10";"11";"4";"-4.09318364235725";"5.34922463627414";"-4.0908888";"5.3479489";"1";"291";"0";"0"
"631";"Feminin";"220";"10";"11";"4";"-4.09543565573171";"5.34695939451937";"-4.0925772";"5.3469854";"0";"317";"0";"0"
"628";"Feminin";"220";"10";"11";"4";"-4.09317962986636";"5.34696341952569";"-4.0908582";"5.3468917";"1";"257";"0";"0"
"253";"Masculin";"96";"4";"9";"4";"-4.12249548093206";"5.34012686384555";"-4.1276481";"5.3407238";"1";"575";"0";"0"
"255";"Feminin";"96";"4";"9";"4";"-4.12023950080338";"5.340130983115";"-4.1220071";"5.3397114";"0";"201";"0";"0"
"265";"Feminin";"96";"4";"9";"4";"-4.12249136791553";"5.33786566894691";"-4.1267497";"5.3400904";"1";"532";"0";"0"
"266";"Feminin";"96";"4";"9";"4";"-4.12023539604893";"5.33786978646238";"-4.1266746";"5.3404666";"1";"769";"0";"0"
"603";"Masculin";"409";"19";"11";"4";"-4.05483080151922";"5.34929182093919";"-4.0559245";"5.3463966";"0";"342";"0";"0"
"611";"Masculin";"409";"19";"11";"4";"-4.05257473694146";"5.34929569829767";"-4.0587425";"5.3513037";"1";"719";"0";"0"
