"Ligne";"Champ";"Avant";"Apres"
"195";"Quartier";"Kouté village";"Koute Village"
"196";"Quartier";"Kouté village";"Koute Village"
"203";"Quartier";"Marché camp militaire";"Marche Camp Militaire"
"303";"Quartier";"Niveau quartier";"Non précisé"
"304";"Quartier";"Niveau quartier";"Non précisé"
"305";"Quartier";"Niveau quartier";"Non précisé"
"306";"Quartier";"Niveau quartier";"Non précisé"
"307";"Quartier";"Niveau quartier";"Non précisé"
"308";"Quartier";"Niveau quartier";"Non précisé"
"309";"Quartier";"Niveau quartier";"Non précisé"
"310";"Quartier";"Niveau quartier";"Non précisé"
"311";"Quartier";"Niveau quartier";"Non précisé"
"312";"Quartier";"Niveau quartier";"Non précisé"
"313";"Quartier";"Niveau quartier";"Non précisé"
"314";"Quartier";"Niveau quartier";"Non précisé"
"315";"Quartier";"Niveau quartier";"Non précisé"
"316";"Quartier";"Niveau quartier";"Non précisé"
"317";"Quartier";"Niveau quartier";"Non précisé"
"318";"Quartier";"Niveau quartier";"Non précisé"
"319";"Quartier";"Niveau quartier";"Non précisé"
"320";"Quartier";"Niveau quartier";"Non précisé"
"321";"Quartier";"Niveau quartier";"Non précisé"
"322";"Quartier";"Niveau quartier";"Non précisé"
"345";"Quartier";"Niveau quartier";"Non précisé"
"346";"Quartier";"Niveau quartier";"Non précisé"
"347";"Quartier";"Niveau quartier";"Non précisé"
"348";"Quartier";"Niveau quartier";"Non précisé"
"349";"Quartier";"Niveau quartier";"Non précisé"
"350";"Quartier";"Niveau quartier";"Non précisé"
"351";"Quartier";"Niveau quartier";"Non précisé"
"353";"Quartier";"Niveau quartier";"Non précisé"
"354";"Quartier";"Niveau quartier";"Non précisé"
"355";"Quartier";"Niveau quartier";"Non précisé"
"356";"Quartier";"Niveau quartier";"Non précisé"
"357";"Quartier";"Niveau quartier";"Non précisé"
"358";"Quartier";"Niveau quartier";"Non précisé"
"359";"Quartier";"Niveau quartier";"Non précisé"
"360";"Quartier";"Niveau quartier";"Non précisé"
"361";"Quartier";"Niveau quartier";"Non précisé"
"362";"Quartier";"Niveau quartier";"Non précisé"
"364";"Quartier";"Niveau quartier";"Non précisé"
"365";"Quartier";"Niveau quartier";"Non précisé"
"366";"Quartier";"Niveau quartier";"Non précisé"
"427";"Commune";"YOPOUGON.";"YOPOUGON"
"624";"Quartier";"Port Bouet 2";"Port-Bouet 2"
"625";"Quartier";"Port Bouet 2";"Port-Bouet 2"
"626";"Quartier";"Port Bouet 2";"Port-Bouet 2"
"627";"Quartier";"Port Bouet 2";"Port-Bouet 2"
"628";"Quartier";"Port Bouet 2";"Port-Bouet 2"
"629";"Quartier";"Port Bouet 2";"Port-Bouet 2"
"630";"Quartier";"Port Bouet 2";"Port-Bouet 2"
"631";"Quartier";"Port Bouet 2";"Port-Bouet 2"
"632";"Quartier";"Port Bouet 2";"Port-Bouet 2"
"633";"Quartier";"Port Bouet 2";"Port-Bouet 2"
"634";"Quartier";"Port Bouet 2";"Port-Bouet 2"
"677";"Quartier";"Port Bouet 2";"Port-Bouet 2"
"678";"Quartier";"Port Bouet 2";"Port-Bouet 2"
"679";"Quartier";"Port Bouet 2";"Port-Bouet 2"
"680";"Quartier";"Port Bouet 2";"Port-Bouet 2"
"681";"Quartier";"Port Bouet 2";"Port-Bouet 2"
"682";"Quartier";"Port Bouet 2";"Port-Bouet 2"
"683";"Quartier";"Port Bouet 2";"Port-Bouet 2"
"684";"Quartier";"Port Bouet 2";"Port-Bouet 2"
"685";"Nationalité";"Ivoirien";"Ivoirienne"
"686";"Nationalité";"Ivoirien";"Ivoirienne"
"687";"Nationalité";"Ivoirien";"Ivoirienne"
"688";"Nationalité";"non ivoirien";"Non ivoirienne"
"688";"Lieu naissance";"Hors Côte d’Ivoire";"Hors Côte d'Ivoire"
"689";"Nationalité";"Ivoirien";"Ivoirienne"
"691";"Nationalité";"Ivoirien";"Ivoirienne"
"692";"Nationalité";"non ivoirien";"Non ivoirienne"
"693";"Nationalité";"Ivoirien";"Ivoirienne"
"721";"Quartier";"ADIAPODOUME";"Adiapodoumé"
"722";"Quartier";"ADIAPODOUME";"Adiapodoumé"
"723";"Quartier";"ADIAPODOUME";"Adiapodoumé"
"724";"Quartier";"ADIAPODOUME";"Adiapodoumé"
"725";"Quartier";"ADIAPODOUME";"Adiapodoumé"
"726";"Nationalité";"Ivoirien";"Ivoirienne"
"727";"Nationalité";"Ivoirien";"Ivoirienne"
